date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:40	97912/97912	---MCZ	200	added ('OK')	text/html	etag:W/%22ed82f481da4524e7240e839cbd2ef9af%22	https://getbuilt.com/construction/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/construction/index.html	(from https://getbuilt.com/)
16:56:42	86685/86685	---MCZ	200	added ('OK')	text/html	etag:W/%22f74aa3d0989251f6b69e6000d7aa8793%22	https://getbuilt.com/built-pay/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/built-pay/index.html	(from https://getbuilt.com/)
16:56:42	87876/87876	---MCZ	200	added ('OK')	text/html	etag:W/%220817d948f80999caf567d30d459f443f%22	https://getbuilt.com/lien-waiver-management/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/lien-waiver-management/index.html	(from https://getbuilt.com/)
16:56:43	65325/65325	---MCZ	200	added ('OK')	text/html	etag:W/%221c3ce80b2b3477be73e015338b9d856f%22	https://getbuilt.com/compliance-tracking/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/compliance-tracking/index.html	(from https://getbuilt.com/)
16:56:44	111578/111578	---MCZ	200	added ('OK')	text/html	etag:W/%22777f2eed7bea9db2aadbf53e96a5831d%22	https://getbuilt.com/construction-loan-administration/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/construction-loan-administration/index.html	(from https://getbuilt.com/)
16:56:44	79923/79923	---MCZ	200	added ('OK')	text/html	etag:W/%22b0117438351669777295652eac983e7c%22	https://getbuilt.com/consumer/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/consumer/index.html	(from https://getbuilt.com/)
16:56:45	82790/82790	---MCZ	200	added ('OK')	text/html	etag:W/%228e1b3f1ef1775d36dc407e1a31faf351%22	https://getbuilt.com/home-builder-finance/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/home-builder-finance/index.html	(from https://getbuilt.com/)
16:56:45	446600/446600	---M--	200	added ('OK')	image/jpeg	etag:%22f755b541942bd8155fcfa62e959a3732%22	https://getbuilt.com/wp-content/uploads/2021/10/Lending-Home.jpeg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/Lending-Home.jpg	(from https://getbuilt.com/)
16:56:45	840987/840987	---M--	200	added ('OK')	image/jpeg	etag:%223c766b45e97cc116932e87717c4f7542%22	https://getbuilt.com/wp-content/uploads/2021/10/construction-hero-test.jpeg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/construction-hero-test.jpg	(from https://getbuilt.com/)
16:56:45	100926/100926	---MCZ	200	added ('OK')	text/html	etag:W/%22dbcb4a9ccde52d7ae8128434011523e0%22	https://getbuilt.com/commercial/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/commercial/index.html	(from https://getbuilt.com/)
16:56:46	72102/72102	---MCZ	200	added ('OK')	text/html	etag:W/%22f7f8a59b9e722b405c6999dd28df2fc1%22	https://getbuilt.com/asset-management/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/asset-management/index.html	(from https://getbuilt.com/)
16:56:46	33477/33477	---M--	200	added ('OK')	image/png	etag:%22fe1e5b0e828b36b410ac84eb6679e178%22	https://getbuilt.com/wp-content/uploads/2021/10/first-financial-1.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/first-financial-1.png	(from https://getbuilt.com/)
16:56:46	845064/845064	---M--	200	added ('OK')	image/png	etag:%226cdaddbd85cadc5507984a929a912850%22	https://getbuilt.com/wp-content/themes/BuiltWP/img/background-stripes.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/themes/BuiltWP/img/background-stripes.png	(from https://getbuilt.com/)
16:56:46	63140/63140	---MCZ	200	added ('OK')	text/html	etag:W/%22f72f77605273a43d0c9d032bc4f192fe%22	https://getbuilt.com/canada/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/canada/index.html	(from https://getbuilt.com/)
16:56:46	15805/15805	---M--	200	added ('OK')	image/png	etag:%224d8adbf075e3e1c4acd346b55bcfe7af%22	https://getbuilt.com/wp-content/uploads/2020/10/discovery-land-company-logo.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2020/10/discovery-land-company-logo.png	(from https://getbuilt.com/)
16:56:47	106301/106301	---MCZ	200	added ('OK')	text/html	etag:W/%221e1c8025da0a53f16b597aea71e27691%22	https://getbuilt.com/built-marketplace/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/built-marketplace/index.html	(from https://getbuilt.com/)
16:56:47	67434/67434	---MCZ	200	added ('OK')	text/html	etag:W/%22721dcbf4d183db47b40e957baabc9c96%22	https://getbuilt.com/title-solutions/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/title-solutions/index.html	(from https://getbuilt.com/)
16:56:47	69844/69844	---MCZ	200	added ('OK')	text/html	etag:W/%2220529ebf5dda795f9b523b1430a760cd%22	https://getbuilt.com/built-marketplace/project-pro/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/built-marketplace/project-pro/index.html	(from https://getbuilt.com/)
16:56:48	20898/20898	---M--	200	added ('OK')	image/png	etag:%2293ec172693c929bf5903bee57c6ca014%22	https://getbuilt.com/wp-content/uploads/2021/12/bancorpsouth_stacked-599x216-fad24e4.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/12/bancorpsouth_stacked-599x216-fad24e4.png	(from https://getbuilt.com/)
16:56:48	69917/69917	---MCZ	200	added ('OK')	text/html	etag:W/%22748bba9d5cacad86a45520fcbabeb160%22	https://getbuilt.com/inspection-services/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/inspection-services/index.html	(from https://getbuilt.com/)
16:56:49	83902/83902	---MCZ	200	added ('OK')	text/html	etag:W/%222d8e730b2245061a24f1553a61ecf2d6%22	https://getbuilt.com/about-us/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/about-us/index.html	(from https://getbuilt.com/)
